,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
27,frozenset({'ADD HERB ROAST CHICKEN        '}),frozenset({'LEMON INFUSED CHAR GRILLED VEG'}),0.0022434340258923723,0.0058586493669800805,0.0010431253750964535,0.4649681528662421,79.36439335093989,0.0010299818817607975,1.8580975243974305
26,frozenset({'LEMON INFUSED CHAR GRILLED VEG'}),frozenset({'ADD HERB ROAST CHICKEN        '}),0.0058586493669800805,0.0022434340258923723,0.0010431253750964535,0.1780487804878049,79.36439335093989,0.0010299818817607975,1.2138878102355612
29,frozenset({'ADD HERB ROAST CHICKEN        '}),frozenset({'ORANGE ARRABIATA              '}),0.0022434340258923723,0.007073247406475951,0.0007287588236975222,0.3248407643312102,45.92526539278131,0.0007128904597922791,1.4706556618602193
28,frozenset({'ORANGE ARRABIATA              '}),frozenset({'ADD HERB ROAST CHICKEN        '}),0.007073247406475951,0.0022434340258923723,0.0007287588236975222,0.10303030303030303,45.92526539278131,0.0007128904597922791,1.1123637390927552
21,frozenset({'ADD FRIES                     '}),frozenset({'TRADITIONAL ITALIAN CRUSTINI  '}),0.010745620302363465,0.003772398616787174,0.0008430739332971335,0.07845744680851063,20.797761524822693,0.0008025371701319774,1.0810435154980895
20,frozenset({'TRADITIONAL ITALIAN CRUSTINI  '}),frozenset({'ADD FRIES                     '}),0.003772398616787174,0.010745620302363465,0.0008430739332971335,0.22348484848484848,20.797761524822693,0.0008025371701319774,1.2739666158057368
22,frozenset({'ADD HAZELNUT FLAVOUR          '}),frozenset({'CAFFE LATTE                   '}),0.002957903460889943,0.029936269326398215,0.00161470092309451,0.5458937198067634,18.235195369697813,0.0015261523284478234,2.136204172866336
23,frozenset({'CAFFE LATTE                   '}),frozenset({'ADD HAZELNUT FLAVOUR          '}),0.029936269326398215,0.002957903460889943,0.00161470092309451,0.05393794749403342,18.23519536969781,0.0015261523284478234,1.0538865753024398
678,"frozenset({'SAMBUCA                       ', 'B.M.T. PANINI                 '})",frozenset({'MAGGI NDL ARRABIATA           '}),0.004686919493584065,0.012588951444657197,0.0009002314880969392,0.19207317073170732,15.257281083026495,0.0008412280861671922,1.2221540525515187
679,frozenset({'MAGGI NDL ARRABIATA           '}),"frozenset({'SAMBUCA                       ', 'B.M.T. PANINI                 '})",0.012588951444657197,0.004686919493584065,0.0009002314880969392,0.07150964812712826,15.257281083026493,0.0008412280861671922,1.0719692224036093
343,frozenset({'FRENCH FRIES                  '}),frozenset({'GARDEN FRESH PANINI           '}),0.003815266782887028,0.01764739504444,0.0007430482123974736,0.19475655430711608,11.03599448058348,0.0006757186922799365,1.2199448628983
342,frozenset({'GARDEN FRESH PANINI           '}),frozenset({'FRENCH FRIES                  '}),0.01764739504444,0.003815266782887028,0.0007430482123974736,0.04210526315789473,11.03599448058348,0.0006757186922799365,1.0399730731387444
676,"frozenset({'MAGGI NDL ARRABIATA           ', 'SAMBUCA                       '})",frozenset({'B.M.T. PANINI                 '}),0.0025006430224914977,0.03722385756337344,0.0009002314880969392,0.36,9.67121689059501,0.000807147908410872,1.504337722557229
681,frozenset({'B.M.T. PANINI                 '}),"frozenset({'MAGGI NDL ARRABIATA           ', 'SAMBUCA                       '})",0.03722385756337344,0.0025006430224914977,0.0009002314880969392,0.02418426103646833,9.67121689059501,0.000807147908410872,1.0222210168868644
18,frozenset({'SATAY CHICKEN PANINI          '}),frozenset({'ADD FRIES                     '}),0.014046469092052241,0.010745620302363465,0.0011288617072961618,0.08036622583926754,7.478975022185667,0.0009779236838440843,1.0757047071269654
19,frozenset({'ADD FRIES                     '}),frozenset({'SATAY CHICKEN PANINI          '}),0.010745620302363465,0.014046469092052241,0.0011288617072961618,0.1050531914893617,7.478975022185667,0.0009779236838440843,1.1016895323072462
677,"frozenset({'MAGGI NDL ARRABIATA           ', 'B.M.T. PANINI                 '})",frozenset({'SAMBUCA                       '}),0.0019147780857934897,0.06320196621988511,0.0009002314880969392,0.4701492537313433,7.438839040159817,0.0007792137482000428,1.7680413595286677
680,frozenset({'SAMBUCA                       '}),"frozenset({'MAGGI NDL ARRABIATA           ', 'B.M.T. PANINI                 '})",0.06320196621988511,0.0019147780857934897,0.0009002314880969392,0.014243725977843093,7.438839040159817,0.0007792137482000428,1.0125070955336088
57,frozenset({'B.M.T. PANINI                 '}),frozenset({'FRENCH FRIES                  '}),0.03722385756337344,0.003815266782887028,0.0010145465976965505,0.0272552783109405,7.143741148899768,0.0008725276504040938,1.0240967758605286
56,frozenset({'FRENCH FRIES                  '}),frozenset({'B.M.T. PANINI                 '}),0.003815266782887028,0.03722385756337344,0.0010145465976965505,0.26591760299625467,7.1437411488997675,0.0008725276504040938,1.3115368879111189
6,frozenset({'COUNTRY ROAST CHICKEN PANINI  '}),frozenset({'ADD FRIES                     '}),0.018890571861335772,0.010745620302363465,0.0012431768168957732,0.06580937972768533,6.124297888434674,0.0010401859043793476,1.0589427449071056
7,frozenset({'ADD FRIES                     '}),frozenset({'COUNTRY ROAST CHICKEN PANINI  '}),0.010745620302363465,0.018890571861335772,0.0012431768168957732,0.11569148936170212,6.124297888434673,0.0010401859043793476,1.1094650976846248
25,frozenset({'ADD HAZELNUT FLAVOUR          '}),frozenset({'CAPPUCCINO                    '}),0.002957903460889943,0.07813437741133435,0.0013717813151953358,0.463768115942029,5.935519438525068,0.0011406673698358691,1.7191548096923768
24,frozenset({'CAPPUCCINO                    '}),frozenset({'ADD HAZELNUT FLAVOUR          '}),0.07813437741133435,0.002957903460889943,0.0013717813151953358,0.01755669348939283,5.935519438525068,0.0011406673698358691,1.014859676819779
411,frozenset({'GREAT LAKES SHAKE                   '}),frozenset({'VANILLA ICECREAM              '}),0.06960361235746335,0.003015061015689749,0.0012431768168957732,0.01786080886881544,5.923863157618208,0.001033317678725604,1.015115726963331
410,frozenset({'VANILLA ICECREAM              '}),frozenset({'GREAT LAKES SHAKE                   '}),0.003015061015689749,0.06960361235746335,0.0012431768168957732,0.41232227488151657,5.923863157618208,0.001033317678725604,1.5831744983272193
154,frozenset({'MASALA CHAI CUTTING           '}),frozenset({'BUN MASKA & CHAI              '}),0.031922494355691465,0.007659112343173959,0.0014289388699951415,0.044762757385854966,5.8443792674942205,0.001184440899450564,1.0388423350634253
155,frozenset({'BUN MASKA & CHAI              '}),frozenset({'MASALA CHAI CUTTING           '}),0.007659112343173959,0.031922494355691465,0.0014289388699951415,0.18656716417910446,5.8443792674942205,0.001184440899450564,1.1901136307920857
150,frozenset({'BLACK CURRANT ICED TEA        '}),frozenset({'LEMON ICED TEA                '}),0.005601440370380955,0.031336629418993456,0.0010145465976965505,0.18112244897959184,5.779895679201913,0.0008390163365973331,1.1829160164104504
151,frozenset({'LEMON ICED TEA                '}),frozenset({'BLACK CURRANT ICED TEA        '}),0.031336629418993456,0.005601440370380955,0.0010145465976965505,0.03237574099407205,5.779895679201913,0.0008390163365973331,1.0276701419734942
445,frozenset({'KF DRAUGHT (1/2LTR)           '}),frozenset({'KF DRAUGHT (1LTR)             '}),0.01593266840044583,0.012160269783658655,0.0010717041524963562,0.06726457399103139,5.531503427779505,0.0008779586063733617,1.0590781722992506
444,frozenset({'KF DRAUGHT (1LTR)             '}),frozenset({'KF DRAUGHT (1/2LTR)           '}),0.012160269783658655,0.01593266840044583,0.0010717041524963562,0.0881316098707403,5.531503427779504,0.0008779586063733617,1.0791769319474493
3,frozenset({'B.M.T. PANINI                 '}),frozenset({'ADD FRIES                     '}),0.03722385756337344,0.010745620302363465,0.0021576976936926637,0.05796545105566219,5.394332707150733,0.0017577042541273924,1.0501253704614275
2,frozenset({'ADD FRIES                     '}),frozenset({'B.M.T. PANINI                 '}),0.010745620302363465,0.03722385756337344,0.0021576976936926637,0.2007978723404255,5.394332707150733,0.0017577042541273924,1.2046716457776094
666,frozenset({'SNICKER BAR SHAKE             '}),frozenset({'TOBLERONE SHAKE               '}),0.008359292389471579,0.015546854905547141,0.0007001800462976194,0.08376068376068375,5.387628833584715,0.0005702193404054603,1.0744497945527145
667,frozenset({'TOBLERONE SHAKE               '}),frozenset({'SNICKER BAR SHAKE             '}),0.015546854905547141,0.008359292389471579,0.0007001800462976194,0.04503676470588235,5.387628833584715,0.0005702193404054603,1.0384072087394176
