,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
17,frozenset({'ADD HERB ROAST CHICKEN        '}),frozenset({'LEMON INFUSED CHAR GRILLED VEG'}),0.0022434340258923723,0.0058586493669800805,0.0010431253750964535,0.4649681528662421,79.36439335093989,0.0010299818817607975,1.8580975243974305
16,frozenset({'LEMON INFUSED CHAR GRILLED VEG'}),frozenset({'ADD HERB ROAST CHICKEN        '}),0.0058586493669800805,0.0022434340258923723,0.0010431253750964535,0.1780487804878049,79.36439335093989,0.0010299818817607975,1.2138878102355612
12,frozenset({'ADD HAZELNUT FLAVOUR          '}),frozenset({'CAFFE LATTE                   '}),0.002957903460889943,0.029936269326398215,0.00161470092309451,0.5458937198067634,18.235195369697813,0.0015261523284478234,2.136204172866336
13,frozenset({'CAFFE LATTE                   '}),frozenset({'ADD HAZELNUT FLAVOUR          '}),0.029936269326398215,0.002957903460889943,0.00161470092309451,0.05393794749403342,18.23519536969781,0.0015261523284478234,1.0538865753024398
10,frozenset({'SATAY CHICKEN PANINI          '}),frozenset({'ADD FRIES                     '}),0.014046469092052241,0.010745620302363465,0.0011288617072961618,0.08036622583926754,7.478975022185667,0.0009779236838440843,1.0757047071269654
11,frozenset({'ADD FRIES                     '}),frozenset({'SATAY CHICKEN PANINI          '}),0.010745620302363465,0.014046469092052241,0.0011288617072961618,0.1050531914893617,7.478975022185667,0.0009779236838440843,1.1016895323072462
37,frozenset({'B.M.T. PANINI                 '}),frozenset({'FRENCH FRIES                  '}),0.03722385756337344,0.003815266782887028,0.0010145465976965505,0.0272552783109405,7.143741148899768,0.0008725276504040938,1.0240967758605286
36,frozenset({'FRENCH FRIES                  '}),frozenset({'B.M.T. PANINI                 '}),0.003815266782887028,0.03722385756337344,0.0010145465976965505,0.26591760299625467,7.1437411488997675,0.0008725276504040938,1.3115368879111189
4,frozenset({'COUNTRY ROAST CHICKEN PANINI  '}),frozenset({'ADD FRIES                     '}),0.018890571861335772,0.010745620302363465,0.0012431768168957732,0.06580937972768533,6.124297888434674,0.0010401859043793476,1.0589427449071056
5,frozenset({'ADD FRIES                     '}),frozenset({'COUNTRY ROAST CHICKEN PANINI  '}),0.010745620302363465,0.018890571861335772,0.0012431768168957732,0.11569148936170212,6.124297888434673,0.0010401859043793476,1.1094650976846248
