,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
27,frozenset({'SAMBUCA                       '}),frozenset({'RED BULL 2+1                  '}),0.063201966,0.016675717,0.004143923,0.065566358,3.931846481,0.003089985,1.052321148
26,frozenset({'RED BULL 2+1                  '}),frozenset({'SAMBUCA                       '}),0.016675717,0.063201966,0.004143923,0.248500428,3.931846481,0.003089985,1.246571614
4,frozenset({'B.M.T. PANINI                 '}),frozenset({'PHILLYCREAM CHEESE &CHILLY PAN'}),0.037223858,0.026578263,0.002614958,0.07024952,2.643119311,0.001625613,1.046970943
5,frozenset({'PHILLYCREAM CHEESE &CHILLY PAN'}),frozenset({'B.M.T. PANINI                 '}),0.026578263,0.037223858,0.002614958,0.098387097,2.643119311,0.001625613,1.067837582
29,frozenset({'SAMBUCA                       '}),frozenset({'RED BULL ENERGY DRINK         '}),0.063201966,0.026578263,0.004043897,0.063983721,2.40737032,0.002364099,1.039962402
28,frozenset({'RED BULL ENERGY DRINK         '}),frozenset({'SAMBUCA                       '}),0.026578263,0.063201966,0.004043897,0.152150538,2.40737032,0.002364099,1.104910807
14,frozenset({'RED BULL ENERGY DRINK         '}),frozenset({'CALCUTTA MINT                 '}),0.026578263,0.047255008,0.002843588,0.106989247,2.264082705,0.001587632,1.066890839
15,frozenset({'CALCUTTA MINT                 '}),frozenset({'RED BULL ENERGY DRINK         '}),0.047255008,0.026578263,0.002843588,0.060175386,2.264082705,0.001587632,1.03574829
22,frozenset({'POUTINE WITH FRIES            '}),frozenset({'PHILLYCREAM CHEESE &CHILLY PAN'}),0.048783973,0.026578263,0.002886457,0.059168131,2.226185032,0.001589863,1.034639418
23,frozenset({'PHILLYCREAM CHEESE &CHILLY PAN'}),frozenset({'POUTINE WITH FRIES            '}),0.026578263,0.048783973,0.002886457,0.108602151,2.226185032,0.001589863,1.067106038
7,frozenset({'B.M.T. PANINI                 '}),frozenset({'POUTINE WITH FRIES            '}),0.037223858,0.048783973,0.003800977,0.102111324,2.093132602,0.00198505,1.059391941
6,frozenset({'POUTINE WITH FRIES            '}),frozenset({'B.M.T. PANINI                 '}),0.048783973,0.037223858,0.003800977,0.07791447,2.093132602,0.00198505,1.044128891
9,frozenset({'B.M.T. PANINI                 '}),frozenset({'QUA  MINERAL WATER(1000ML)    '}),0.037223858,0.047555086,0.003672373,0.09865643,2.074571599,0.001902189,1.056694635
8,frozenset({'QUA  MINERAL WATER(1000ML)    '}),frozenset({'B.M.T. PANINI                 '}),0.047555086,0.037223858,0.003672373,0.077223558,2.074571599,0.001902189,1.043347119
10,frozenset({'B.M.T. PANINI                 '}),frozenset({'SAMBUCA                       '}),0.037223858,0.063201966,0.004686919,0.125911708,1.992211885,0.002334299,1.071743029
11,frozenset({'SAMBUCA                       '}),frozenset({'B.M.T. PANINI                 '}),0.063201966,0.037223858,0.004686919,0.074157811,1.992211885,0.002334299,1.039892278
16,frozenset({'QUA  MINERAL WATER(1000ML)    '}),frozenset({'MOROCCAN MINT TEA             '}),0.047555086,0.032236861,0.00281501,0.059194712,1.836243042,0.001281983,1.028654017
17,frozenset({'MOROCCAN MINT TEA             '}),frozenset({'QUA  MINERAL WATER(1000ML)    '}),0.032236861,0.047555086,0.00281501,0.087322695,1.836243042,0.001281983,1.043572475
12,frozenset({'CAPPUCCINO                    '}),frozenset({'CAFFE LATTE                   '}),0.078134377,0.029936269,0.004243948,0.05431602,1.814388423,0.001904897,1.025780019
13,frozenset({'CAFFE LATTE                   '}),frozenset({'CAPPUCCINO                    '}),0.029936269,0.078134377,0.004243948,0.14176611,1.814388423,0.001904897,1.074142647
0,frozenset({'CALCUTTA MINT                 '}),frozenset({'B.M.T. PANINI                 '}),0.047255008,0.037223858,0.003015061,0.063804052,1.714063404,0.001256047,1.0283917
1,frozenset({'B.M.T. PANINI                 '}),frozenset({'CALCUTTA MINT                 '}),0.037223858,0.047255008,0.003015061,0.080998081,1.714063404,0.001256047,1.036717086
3,frozenset({'GREAT LAKES SHAKE                   '}),frozenset({'B.M.T. PANINI                 '}),0.069603612,0.037223858,0.004043897,0.058098953,1.560798821,0.001452982,1.022162727
2,frozenset({'B.M.T. PANINI                 '}),frozenset({'GREAT LAKES SHAKE                   '}),0.037223858,0.069603612,0.004043897,0.108637236,1.560798821,0.001452982,1.043790952
24,frozenset({'QUA  MINERAL WATER(1000ML)    '}),frozenset({'SAMBUCA                       '}),0.047555086,0.063201966,0.004686919,0.098557692,1.559408642,0.001681345,1.039221285
25,frozenset({'SAMBUCA                       '}),frozenset({'QUA  MINERAL WATER(1000ML)    '}),0.063201966,0.047555086,0.004686919,0.074157811,1.559408642,0.001681345,1.028733542
18,frozenset({'RED BULL 2+1                  '}),frozenset({'NIRVANA HOOKAH SINGLE         '}),0.016675717,0.119873682,0.003086508,0.185089974,1.544041791,0.001087528,1.080028826
19,frozenset({'NIRVANA HOOKAH SINGLE         '}),frozenset({'RED BULL 2+1                  '}),0.119873682,0.016675717,0.003086508,0.025748003,1.544041791,0.001087528,1.009312054
21,frozenset({'NIRVANA HOOKAH SINGLE         '}),frozenset({'RED BULL ENERGY DRINK         '}),0.119873682,0.026578263,0.004886971,0.040767672,1.533872698,0.001700937,1.014792463
20,frozenset({'RED BULL ENERGY DRINK         '}),frozenset({'NIRVANA HOOKAH SINGLE         '}),0.026578263,0.119873682,0.004886971,0.183870968,1.533872698,0.001700937,1.078415647
