,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
20,frozenset({'LEMON INFUSED CHAR GRILLED VEG'}),frozenset({'ADD HERB ROAST CHICKEN        '}),0.0058586493669800805,0.0022434340258923723,0.0010431253750964535,0.1780487804878049,79.36439335093989,0.0010299818817607975,1.2138878102355612
21,frozenset({'ADD HERB ROAST CHICKEN        '}),frozenset({'LEMON INFUSED CHAR GRILLED VEG'}),0.0022434340258923723,0.0058586493669800805,0.0010431253750964535,0.4649681528662421,79.36439335093989,0.0010299818817607975,1.8580975243974305
16,frozenset({'ADD HAZELNUT FLAVOUR          '}),frozenset({'CAFFE LATTE                   '}),0.002957903460889943,0.029936269326398215,0.00161470092309451,0.5458937198067634,18.235195369697813,0.0015261523284478234,2.136204172866336
17,frozenset({'CAFFE LATTE                   '}),frozenset({'ADD HAZELNUT FLAVOUR          '}),0.029936269326398215,0.002957903460889943,0.00161470092309451,0.05393794749403342,18.23519536969781,0.0015261523284478234,1.0538865753024398
478,"frozenset({'SAMBUCA                       ', 'B.M.T. PANINI                 '})",frozenset({'MAGGI NDL ARRABIATA           '}),0.004686919493584065,0.012588951444657197,0.0009002314880969392,0.19207317073170732,15.257281083026495,0.0008412280861671922,1.2221540525515187
479,frozenset({'MAGGI NDL ARRABIATA           '}),"frozenset({'SAMBUCA                       ', 'B.M.T. PANINI                 '})",0.012588951444657197,0.004686919493584065,0.0009002314880969392,0.07150964812712826,15.257281083026493,0.0008412280861671922,1.0719692224036093
476,"frozenset({'MAGGI NDL ARRABIATA           ', 'SAMBUCA                       '})",frozenset({'B.M.T. PANINI                 '}),0.0025006430224914977,0.03722385756337344,0.0009002314880969392,0.36,9.67121689059501,0.000807147908410872,1.504337722557229
481,frozenset({'B.M.T. PANINI                 '}),"frozenset({'MAGGI NDL ARRABIATA           ', 'SAMBUCA                       '})",0.03722385756337344,0.0025006430224914977,0.0009002314880969392,0.02418426103646833,9.67121689059501,0.000807147908410872,1.0222210168868644
14,frozenset({'SATAY CHICKEN PANINI          '}),frozenset({'ADD FRIES                     '}),0.014046469092052241,0.010745620302363465,0.0011288617072961618,0.08036622583926754,7.478975022185667,0.0009779236838440843,1.0757047071269654
15,frozenset({'ADD FRIES                     '}),frozenset({'SATAY CHICKEN PANINI          '}),0.010745620302363465,0.014046469092052241,0.0011288617072961618,0.1050531914893617,7.478975022185667,0.0009779236838440843,1.1016895323072462
477,"frozenset({'MAGGI NDL ARRABIATA           ', 'B.M.T. PANINI                 '})",frozenset({'SAMBUCA                       '}),0.0019147780857934897,0.06320196621988511,0.0009002314880969392,0.4701492537313433,7.438839040159817,0.0007792137482000428,1.7680413595286677
480,frozenset({'SAMBUCA                       '}),"frozenset({'MAGGI NDL ARRABIATA           ', 'B.M.T. PANINI                 '})",0.06320196621988511,0.0019147780857934897,0.0009002314880969392,0.014243725977843093,7.438839040159817,0.0007792137482000428,1.0125070955336088
