Date,Profits
2010-04-01,116.66666666666666
2010-04-02,1649.9999999999998
2010-04-03,3466.666666666667
2010-04-04,249.99999999999997
2010-04-05,466.66666666666663
2010-04-06,266.66666666666663
2010-04-07,483.33333333333326
2010-04-08,316.66666666666663
2010-04-09,350.0
2010-04-10,200.0
2010-04-11,1833.3333333333335
2010-04-12,566.6666666666666
2010-04-13,799.9999999999999
2010-04-14,683.3333333333333
2010-04-15,433.3333333333333
2010-04-16,466.66666666666663
2010-04-17,216.66666666666666
2010-04-18,116.66666666666666
2010-04-19,216.66666666666666
2010-04-20,200.0
2010-04-21,333.3333333333333
2010-04-22,483.33333333333326
2010-04-23,1966.6666666666665
2010-04-24,799.9999999999999
2010-04-25,450.0
2010-04-26,233.33333333333331
2010-04-27,450.0
2010-04-29,216.66666666666666
2010-04-30,366.6666666666667
2010-05-02,233.33333333333331
2010-05-03,83.33333333333334
2010-05-04,116.66666666666666
2010-05-05,1133.3333333333335
2010-05-06,350.0
2010-05-07,333.3333333333333
2010-05-09,350.0
2010-05-10,249.99999999999997
2010-05-11,350.0
2010-05-12,216.66666666666666
2010-05-13,583.3333333333333
2010-05-14,233.33333333333331
2010-05-15,233.33333333333331
2010-05-16,350.0
2010-05-17,116.66666666666666
2010-05-18,100.0
2010-05-19,450.0
2010-05-20,350.0
2010-05-21,233.33333333333331
2010-05-22,350.0
2010-05-23,1266.6666666666665
2010-05-24,216.66666666666666
2010-05-25,1000.0
2010-05-26,683.3333333333333
2010-05-27,616.6666666666666
2010-05-28,350.0
2010-05-29,2650.0
2010-05-30,1250.0000000000002
2010-05-31,266.66666666666663
2010-06-01,1166.6666666666667
2010-06-02,333.33333333333337
2010-06-03,116.66666666666666
2010-06-04,600.0
2010-06-05,1733.3333333333335
2010-06-06,300.0
2010-06-07,999.9999999999998
2010-06-08,433.3333333333333
2010-06-10,633.3333333333333
2010-06-12,350.0
2010-06-13,233.33333333333331
2010-06-14,350.0
2010-06-15,116.66666666666666
2010-06-16,466.66666666666663
2010-06-17,766.6666666666665
2010-06-18,116.66666666666666
2010-06-19,233.33333333333331
2010-06-20,116.66666666666666
2010-06-21,333.3333333333333
2010-06-22,766.6666666666665
2010-06-24,933.3333333333331
2010-06-25,883.3333333333331
2010-06-27,850.0
2010-06-28,116.66666666666666
2010-06-29,583.3333333333333
2010-06-30,233.33333333333331
2010-07-01,1100.0
2010-07-03,233.33333333333331
2010-07-04,233.33333333333331
2010-07-05,233.33333333333331
2010-07-06,233.33333333333331
2010-07-07,699.9999999999999
2010-07-09,1183.3333333333333
2010-07-10,466.66666666666663
2010-07-12,116.66666666666666
2010-07-13,350.0
