Item,Total
VLN CAB SAUV (GLS)            ,146
RED SANGRIA (GLS),79
SULA BLUSH ZINFANDEL(GLS)     ,72
VLN SAUV BLANC (GLS)          ,70
VLN CHENIN BLANC (GLS)        ,64
1+1 WINE GLASS                ,43
WHITE SANGRIA (GLS),41
VLN CAB SAUV CLASIQ (GLS)     ,40
SANGRIA ROSE (GLS)            ,30
RED SANGRIA (CARAFE),24
