Item,Total
POUTINE WITH FRIES            ,3464
JR.CHL AVALANCHE              ,3314
PHILLYCREAM CHEESE &CHILLY PAN,1898
SR.CHL AVALANCHE              ,735
NON-VEG CLUB WRAP             ,647
MEZE PLATTER                  ,639
POUTINE WITH WEDGES           ,421
VERTIGO                       ,382
CHICKEN SLOUVLAKI WRAP        ,354
SMOKED CHICK & PESTO CREAM CRO,349
