Item,Total
GOOEY CHOCOLATE FUDGE         ,1170
LAVA LAVA                     ,1002
BUN MASKA & CHAI              ,537
THAT CHOCOLATE THING,523
MT. BROWNIE                   ,483
COOKIE MONSTER                ,320
CLASSIC BELGIAN  WAFFLE       ,289
CHUNKY CHOCO CHIP COOKIES     ,273
CHEESE CAKE OF THE WEEK       ,235
VANILLA ICECREAM              ,213
