Item,Total
MOROCCAN MINT TEA             ,2257
LEMON ICED TEA                ,2196
STRAWBERRY ICED TEA           ,411
BLACK CURRANT ICED TEA        ,392
EARL GREY                     ,180
GREEN TEA                     ,150
CHAMOMILE TEA                 ,126
ICED LEMON OR STR CAMOMILE    ,108
ENG BREAKFAST TEA             ,86
CINNAMON APPLE TEA            ,68
