Item,Total
QUA  MINERAL WATER(1000ML)    ,3331
BERRY BLAST                   ,2031
RED BULL ENERGY DRINK         ,1860
COUNTRY LEMONADE              ,1813
PINK LEMONADE                 ,1416
MIAMI MELONS                  ,1262
RED BULL 2+1                  ,1167
COOL CALIFORNICA              ,877
QUA  MINERAL WATER(500ML)     ,833
TROPICAL SMOOTHIE             ,609
