Item,Total
B.M.T. PANINI                 ,2724
COTTAGE CHEESE PANINI         ,1644
COUNTRY ROAST CHICKEN PANINI  ,1324
GARDEN FRESH PANINI           ,1245
SATAY CHICKEN PANINI          ,987
CHICKEN SALAMI PANINI         ,647
MEDITER RANEAN PANINO         ,378
ITALIAN CAPONATA PANINO       ,214
PESCADO PANINO                ,54
