Date,Profits
2010-04-01,2350.000000000001
2010-04-02,2856.6666666666665
2010-04-03,3521.6666666666656
2010-04-04,2646.666666666666
2010-04-05,1895.0000000000002
2010-04-06,1415.0000000000002
2010-04-07,1555.0
2010-04-08,1960.0000000000002
2010-04-09,1803.3333333333335
2010-04-10,3146.666666666667
2010-04-11,3490.0000000000005
2010-04-12,1533.3333333333337
2010-04-13,1481.6666666666667
2010-04-14,2178.333333333334
2010-04-15,1800.0000000000005
2010-04-16,1974.9999999999998
2010-04-17,2344.9999999999995
2010-04-18,2550.000000000001
2010-04-19,2401.6666666666665
2010-04-20,1705.0
2010-04-21,1429.9999999999998
2010-04-22,1701.666666666667
2010-04-23,1643.3333333333337
2010-04-24,3596.6666666666674
2010-04-25,2898.333333333333
2010-04-26,1458.333333333333
2010-04-27,2458.3333333333335
2010-04-28,1211.6666666666665
2010-04-29,1386.6666666666667
2010-04-30,2096.666666666667
2010-05-01,3781.666666666666
2010-05-02,3281.6666666666665
2010-05-03,1538.3333333333333
2010-05-04,1528.333333333333
2010-05-05,1583.3333333333333
2010-05-06,2266.6666666666665
2010-05-07,1333.3333333333337
2010-05-08,2963.333333333334
2010-05-09,1665.0
2010-05-10,1338.3333333333333
2010-05-11,1788.3333333333328
2010-05-12,1758.3333333333335
2010-05-13,1588.3333333333335
2010-05-14,2386.666666666667
2010-05-15,2245.0
2010-05-16,1336.666666666667
2010-05-17,1300.0000000000002
2010-05-18,1956.6666666666667
2010-05-19,1751.6666666666667
2010-05-20,1555.0
2010-05-21,1501.666666666667
2010-05-22,2791.666666666669
2010-05-23,2788.333333333332
2010-05-24,1713.3333333333335
2010-05-25,1556.666666666666
2010-05-26,2360.000000000001
2010-05-27,2305.0
2010-05-28,1635.0000000000002
2010-05-29,2363.3333333333335
2010-05-30,2831.6666666666665
2010-05-31,1988.3333333333335
2010-06-01,1349.9999999999998
2010-06-02,1920.0000000000007
2010-06-03,1568.333333333333
2010-06-04,2216.666666666667
2010-06-05,3156.6666666666656
2010-06-06,2381.666666666667
2010-06-07,1355.0
2010-06-08,2295.0000000000005
2010-06-09,1634.9999999999995
2010-06-10,1771.6666666666665
2010-06-11,1786.6666666666665
2010-06-12,3209.9999999999995
2010-06-13,2325.0
2010-06-14,1239.9999999999998
2010-06-15,906.6666666666665
2010-06-16,1031.6666666666667
2010-06-17,1295.0
2010-06-18,2313.3333333333326
2010-06-19,2808.333333333334
2010-06-20,1879.9999999999998
2010-06-21,2366.666666666668
2010-06-22,1699.9999999999998
2010-06-23,1220.0
2010-06-24,2128.333333333334
2010-06-25,2518.333333333333
2010-06-26,2603.3333333333335
2010-06-27,2295.0000000000005
2010-06-28,2625.000000000001
2010-06-29,1231.6666666666667
2010-06-30,1721.6666666666674
2010-07-01,1800.0
2010-07-02,2165.0000000000005
2010-07-03,1615.0000000000002
2010-07-04,2348.333333333333
2010-07-05,1528.3333333333337
2010-07-06,3089.9999999999995
2010-07-07,2105.000000000001
2010-07-08,2081.6666666666665
2010-07-09,1763.3333333333335
2010-07-10,2230.0
2010-07-11,2161.666666666667
2010-07-12,2223.3333333333344
2010-07-13,1850.0000000000005
2010-07-14,2193.3333333333344
2010-07-15,2145.0000000000005
2010-07-16,2310.0000000000005
2010-07-17,2814.9999999999995
2010-07-18,2695.0
2010-07-19,1758.3333333333335
2010-07-20,1716.666666666667
2010-07-21,1515.0000000000002
2010-07-22,1613.3333333333335
2010-07-23,2183.333333333334
2010-07-24,2036.666666666667
2010-07-25,2105.0
2010-07-26,1438.3333333333335
2010-07-27,2385.0000000000005
2010-07-28,2165.0000000000005
2010-07-29,1668.3333333333333
2010-07-30,2110.0000000000005
2010-07-31,2110.0
2010-08-01,2388.333333333334
2010-08-02,1328.3333333333333
2010-08-03,2048.333333333334
2010-08-04,2681.6666666666665
2010-08-05,2055.000000000001
2010-08-06,2390.0000000000005
2010-08-07,2668.333333333333
2010-08-08,2988.333333333333
2010-08-09,1791.6666666666665
2010-08-10,2475.0000000000005
2010-08-11,1876.6666666666663
2010-08-12,1343.3333333333333
2010-08-13,2480.0
2010-08-14,3166.6666666666674
2010-08-15,2958.3333333333335
2010-08-16,1819.9999999999995
2010-08-17,2126.6666666666665
2010-08-18,2120.0
2010-08-19,1696.6666666666663
2010-08-20,2015.0
2010-08-21,2286.666666666667
2010-08-22,2066.666666666667
2010-08-23,2111.666666666667
2010-08-24,1249.9999999999998
2010-08-25,1679.9999999999998
2010-08-26,2293.333333333334
2010-08-27,2416.6666666666665
2010-08-28,3051.666666666668
2010-08-29,1451.6666666666667
2010-08-30,1806.6666666666663
2010-08-31,1395.0
2010-09-01,2170.0
2010-09-02,1881.6666666666667
2010-09-03,2073.333333333334
2010-09-04,2011.6666666666672
2010-09-05,1178.3333333333335
2010-09-06,1353.333333333333
2010-09-07,2000.0000000000005
2010-09-08,1230.0000000000002
2010-09-09,1814.9999999999998
2010-09-10,1666.6666666666665
2010-09-11,2430.0000000000014
2010-09-12,1693.3333333333335
2010-09-13,1970.0
2010-09-14,1615.0000000000002
2010-09-15,1363.333333333333
2010-09-16,1413.3333333333333
2010-09-17,1516.6666666666665
2010-09-18,2031.6666666666667
2010-09-19,1596.666666666667
2010-09-20,1881.6666666666667
2010-09-21,2306.6666666666674
2010-09-22,2246.666666666667
2010-09-23,1971.6666666666667
2010-09-24,1648.3333333333335
2010-09-25,1921.6666666666663
2010-09-26,2226.666666666667
2010-09-27,1566.666666666667
2010-09-28,2524.9999999999995
2010-09-29,1145.0
2010-09-30,2091.6666666666674
