Date,Profits
2010-04-01,1470.0
2010-04-02,1701.1538461538462
2010-04-03,3053.46153846154
2010-04-04,1809.230769230769
2010-04-05,1758.0769230769229
2010-04-06,1511.538461538462
2010-04-07,1816.9230769230771
2010-04-08,1260.0
2010-04-09,1290.7692307692305
2010-04-10,1811.538461538461
2010-04-11,1575.76923076923
2010-04-12,1224.2307692307693
2010-04-13,1428.0769230769233
2010-04-14,1296.923076923077
2010-04-15,1088.8461538461538
2010-04-16,1403.0769230769229
2010-04-17,2307.692307692308
2010-04-18,1539.6153846153848
2010-04-19,1794.2307692307695
2010-04-20,861.5384615384614
2010-04-21,864.230769230769
2010-04-22,1177.6923076923076
2010-04-23,1506.1538461538466
2010-04-24,2364.2307692307695
2010-04-25,1958.0769230769229
2010-04-26,1173.4615384615386
2010-04-27,1683.8461538461534
2010-04-28,1423.461538461539
2010-04-29,1113.0769230769229
2010-04-30,1619.230769230769
2010-05-01,2058.4615384615386
2010-05-02,1802.6923076923076
2010-05-03,1919.9999999999995
2010-05-04,855.7692307692306
2010-05-05,1210.0
2010-05-06,1271.5384615384614
2010-05-07,1225.3846153846152
2010-05-08,1987.6923076923072
2010-05-09,1313.8461538461534
2010-05-10,800.0
2010-05-11,601.5384615384615
2010-05-12,1461.9230769230767
2010-05-13,1358.0769230769229
2010-05-14,1550.7692307692305
2010-05-15,1841.153846153846
2010-05-16,1193.461538461538
2010-05-17,1333.8461538461538
2010-05-18,943.8461538461539
2010-05-19,1676.1538461538462
2010-05-20,1521.1538461538457
2010-05-21,1366.9230769230767
2010-05-22,1470.0
2010-05-23,1517.3076923076924
2010-05-24,1085.3846153846157
2010-05-25,1194.6153846153848
2010-05-26,1167.3076923076924
2010-05-27,1811.538461538462
2010-05-28,1337.307692307692
2010-05-29,1277.3076923076928
2010-05-30,1204.6153846153845
2010-05-31,1307.692307692308
2010-06-01,1273.0769230769233
2010-06-02,1274.230769230769
2010-06-03,1010.7692307692308
2010-06-04,1573.8461538461538
2010-06-05,1711.1538461538462
2010-06-06,1273.8461538461538
2010-06-07,1870.7692307692305
2010-06-08,903.4615384615383
2010-06-09,1133.0769230769229
2010-06-10,1290.7692307692305
2010-06-11,1615.3846153846148
2010-06-12,1686.9230769230767
2010-06-13,1738.846153846154
2010-06-14,900.769230769231
2010-06-15,1811.1538461538466
2010-06-16,1895.7692307692307
2010-06-17,1543.846153846154
2010-06-18,2041.9230769230765
2010-06-19,2292.692307692307
2010-06-20,2140.3846153846157
2010-06-21,1241.5384615384612
2010-06-22,1804.2307692307686
2010-06-23,1662.6923076923076
2010-06-24,1759.6153846153843
2010-06-25,1798.8461538461534
2010-06-26,2923.8461538461547
2010-06-27,1747.6923076923076
2010-06-28,1996.5384615384617
2010-06-29,1319.230769230769
2010-06-30,1455.0000000000002
2010-07-01,2067.692307692308
2010-07-02,1729.6153846153843
2010-07-03,2547.6923076923076
2010-07-04,1590.0
2010-07-05,1206.9230769230767
2010-07-06,2106.9230769230758
2010-07-07,1696.9230769230771
2010-07-08,2239.9999999999995
2010-07-09,2012.3076923076915
2010-07-10,3001.9230769230776
2010-07-11,2202.692307692308
2010-07-12,1716.9230769230767
2010-07-13,1377.6923076923072
2010-07-14,1039.6153846153848
2010-07-15,1884.2307692307695
2010-07-16,1907.3076923076915
2010-07-17,2366.1538461538457
2010-07-18,1696.9230769230767
2010-07-19,1583.0769230769229
2010-07-20,1525.0
2010-07-21,2139.6153846153843
2010-07-22,1792.692307692308
2010-07-23,2144.6153846153843
2010-07-24,2885.3846153846157
2010-07-25,1540.3846153846152
2010-07-26,1917.6923076923076
2010-07-27,1380.769230769231
2010-07-28,1870.3846153846152
2010-07-29,1498.8461538461543
2010-07-30,1615.7692307692307
2010-07-31,2665.769230769232
2010-08-01,2336.923076923077
2010-08-02,1354.9999999999995
2010-08-03,1186.1538461538462
2010-08-04,2065.0
2010-08-05,1633.8461538461538
2010-08-06,2028.0769230769238
2010-08-07,2241.9230769230767
2010-08-08,2405.769230769231
2010-08-09,2378.076923076923
2010-08-10,2170.3846153846152
2010-08-11,1481.5384615384614
2010-08-12,1401.1538461538466
2010-08-13,1733.0769230769233
2010-08-14,2283.076923076923
2010-08-15,2099.615384615384
2010-08-16,1281.9230769230776
2010-08-17,1484.9999999999995
2010-08-18,2021.538461538462
2010-08-19,864.2307692307692
2010-08-20,2143.4615384615386
2010-08-21,2433.461538461538
2010-08-22,2309.6153846153843
2010-08-23,1713.4615384615388
2010-08-24,794.2307692307693
2010-08-25,1676.1538461538462
2010-08-26,1596.9230769230767
2010-08-27,2451.538461538462
2010-08-28,1693.461538461538
2010-08-29,1608.0769230769233
2010-08-30,1813.8461538461538
2010-08-31,1406.5384615384621
2010-09-01,1790.7692307692305
2010-09-02,1559.2307692307688
2010-09-03,1453.846153846154
2010-09-04,2088.076923076923
2010-09-05,1383.076923076923
2010-09-06,1774.2307692307695
2010-09-07,1338.461538461538
2010-09-08,1314.230769230769
2010-09-09,1159.6153846153848
2010-09-10,1440.0
2010-09-11,2095.76923076923
2010-09-12,1604.6153846153848
2010-09-13,1500.3846153846157
2010-09-14,1288.0769230769229
2010-09-15,961.9230769230769
2010-09-16,1421.1538461538462
2010-09-17,1676.1538461538466
2010-09-18,2621.538461538462
2010-09-19,1576.9230769230776
2010-09-20,1341.5384615384614
2010-09-21,1990.769230769231
2010-09-22,1506.5384615384614
2010-09-23,1402.3076923076924
2010-09-24,1969.2307692307695
2010-09-25,3505.3846153846157
2010-09-26,1829.6153846153848
2010-09-27,1478.4615384615386
