Date,Profits
2010-04-01,18752.0
2010-04-02,17956.0
2010-04-03,26100.800000000003
2010-04-04,19096.800000000003
2010-04-05,19480.0
2010-04-06,15622.4
2010-04-07,17980.0
2010-04-08,18876.0
2010-04-09,19020.0
2010-04-10,23620.0
2010-04-11,23696.0
2010-04-12,18490.4
2010-04-13,19200.0
2010-04-14,15692.0
2010-04-15,16264.0
2010-04-16,17684.0
2010-04-17,21618.4
2010-04-18,23080.0
2010-04-19,21708.8
2010-04-20,19304.0
2010-04-21,15730.4
2010-04-22,16436.0
2010-04-23,21320.0
2010-04-24,22770.4
2010-04-25,21996.0
2010-04-26,19428.0
2010-04-27,19794.4
2010-04-28,19754.4
2010-04-29,20884.8
2010-04-30,19544.0
2010-05-01,24244.0
2010-05-02,18162.4
2010-05-03,20758.4
2010-05-04,13380.0
2010-05-05,19866.4
2010-05-06,21526.4
2010-05-07,20516.0
2010-05-08,23586.4
2010-05-09,21706.4
2010-05-10,20438.4
2010-05-11,16028.0
2010-05-12,20286.4
2010-05-13,17998.4
2010-05-14,23064.800000000003
2010-05-15,22486.4
2010-05-16,24982.4
2010-05-17,18296.0
2010-05-18,17856.0
2010-05-19,18940.800000000003
2010-05-20,17528.0
2010-05-21,19074.4
2010-05-22,22832.0
2010-05-23,23720.0
2010-05-24,19464.0
2010-05-25,20452.0
2010-05-26,16132.0
2010-05-27,16964.4
2010-05-28,21100.0
2010-05-29,26722.4
2010-05-30,22190.4
2010-05-31,18624.0
2010-06-01,15731.199999999999
2010-06-02,15678.4
2010-06-03,18472.0
2010-06-04,15396.8
2010-06-05,17692.0
2010-06-06,22472.0
2010-06-07,20600.0
2010-06-08,18360.0
2010-06-09,18876.0
2010-06-10,19294.4
2010-06-11,18320.0
2010-06-12,22384.0
2010-06-13,21644.0
2010-06-14,22784.0
2010-06-15,22406.4
2010-06-16,19984.0
2010-06-17,21400.0
2010-06-18,19440.8
2010-06-19,25800.0
2010-06-20,20006.4
2010-06-21,18852.0
2010-06-22,22326.4
2010-06-23,19694.4
2010-06-24,22874.4
2010-06-25,20780.0
2010-06-26,23055.2
2010-06-27,19604.0
2010-06-28,21885.600000000002
2010-06-29,20028.800000000003
2010-06-30,24084.0
2010-07-01,22098.4
2010-07-02,18672.0
2010-07-03,22234.4
2010-07-04,21630.4
2010-07-05,13532.0
2010-07-06,26472.0
2010-07-07,21716.0
2010-07-08,23784.0
2010-07-09,22572.8
2010-07-10,26700.0
2010-07-11,18374.4
2010-07-12,22912.0
2010-07-13,24000.4
2010-07-14,22852.0
2010-07-15,26768.8
2010-07-16,23016.4
2010-07-17,25118.800000000003
2010-07-18,25490.4
2010-07-19,23180.0
2010-07-20,23471.800000000003
2010-07-21,20542.4
2010-07-22,19668.0
2010-07-23,25888.0
2010-07-24,24804.0
2010-07-25,21118.4
2010-07-26,22400.0
2010-07-27,20036.0
2010-07-28,27712.0
2010-07-29,21358.4
2010-07-30,23224.0
2010-07-31,28900.0
2010-08-01,23896.4
2010-08-02,25232.4
2010-08-03,21976.0
2010-08-04,26216.0
2010-08-05,23684.0
2010-08-06,22900.0
2010-08-07,27698.199999999997
2010-08-08,23584.0
2010-08-09,26276.0
2010-08-10,26456.0
2010-08-11,24028.4
2010-08-12,18872.4
2010-08-13,24504.4
2010-08-14,28900.0
2010-08-15,26651.4
2010-08-16,22792.0
2010-08-17,22144.0
2010-08-18,20308.0
2010-08-19,18224.0
2010-08-20,24160.0
2010-08-21,24276.0
2010-08-22,24661.6
2010-08-23,23448.0
2010-08-24,21520.0
2010-08-25,21260.0
2010-08-26,21504.0
2010-08-27,23998.4
2010-08-28,27176.800000000003
2010-08-29,25016.0
2010-08-30,20909.6
2010-08-31,23388.0
2010-09-01,26156.0
2010-09-02,22180.0
2010-09-03,26465.800000000003
2010-09-04,22044.0
2010-09-05,16632.0
2010-09-06,19815.4
2010-09-07,17952.4
2010-09-08,18072.0
2010-09-09,19558.0
2010-09-10,17652.0
2010-09-11,20004.4
2010-09-12,26792.0
2010-09-13,28312.0
2010-09-14,24962.4
2010-09-15,26252.0
2010-09-16,21412.0
2010-09-17,23247.4
2010-09-18,30116.0
2010-09-19,22948.0
2010-09-20,27106.4
2010-09-21,20797.800000000003
2010-09-22,23764.0
2010-09-23,23912.0
2010-09-24,22135.4
2010-09-25,28256.0
2010-09-26,19232.0
2010-09-27,23084.0
2010-09-28,21008.0
2010-09-29,20663.4
2010-09-30,21792.0
2010-10-01,22620.0
2010-10-02,31243.4
2010-10-03,24984.0
2010-10-04,24480.0
2010-10-05,22772.0
2010-10-06,21447.4
2010-10-07,22976.0
2010-10-08,25898.4
2010-10-09,27520.4
2010-10-10,20405.0
2010-10-11,23208.0
2010-10-12,22898.4
2010-10-13,19412.0
2010-10-14,23540.0
2010-10-15,22404.0
2010-10-16,26209.0
2010-10-17,17900.0
2010-10-18,21100.0
2010-10-19,23988.0
2010-10-20,22570.8
2010-10-21,20233.0
2010-10-22,22272.0
2010-10-23,27076.4
2010-10-24,23783.4
2010-10-25,23520.0
2010-10-26,16104.0
2010-10-27,21291.4
2010-10-28,25716.0
2010-10-29,24336.2
2010-10-30,26738.4
2010-10-31,25580.0
2010-11-01,20976.0
2010-11-02,19028.0
2010-11-03,18584.0
2010-11-04,24271.4
2010-11-05,21696.0
2010-11-06,24184.4
2010-11-07,24768.4
2010-11-08,25011.4
2010-11-09,21648.0
2010-11-10,19044.0
2010-11-11,19152.0
2010-11-12,20448.0
2010-11-13,23862.4
2010-11-14,25352.0
2010-11-15,20073.4
2010-11-16,19624.0
2010-11-17,22476.0
2010-11-18,20837.0
2010-11-19,24408.0
2010-11-20,24032.0
2010-11-21,24930.199999999997
2010-11-22,25993.0
2010-11-23,28918.800000000003
2010-11-24,25866.4
2010-11-25,26332.0
2010-11-26,29368.0
2010-11-27,30748.0
2010-11-28,26036.0
2010-11-29,30120.0
2010-11-30,27308.4
2010-12-01,28460.0
2010-12-02,24904.4
2010-12-03,27670.4
2010-12-04,29244.0
2010-12-05,28592.0
2010-12-06,24824.0
2010-12-07,23004.0
2010-12-08,22717.0
2010-12-09,21793.800000000003
2010-12-10,24876.0
2010-12-11,34906.4
2010-12-12,27290.800000000003
2010-12-13,28675.4
2010-12-14,23812.0
2010-12-15,28750.800000000003
2010-12-16,26026.8
2010-12-17,23966.4
2010-12-18,36042.4
2010-12-19,31140.0
2010-12-20,26264.0
2010-12-21,27988.0
2010-12-22,28348.0
2010-12-23,26058.0
