Item,Total
GREAT LAKES SHAKE                   ,4895
OREO COOKIE SHAKE             ,1998
KIT KAT SHAKE                 ,1680
TOBLERONE SHAKE               ,1090
THE FERROR ROCHER SHAKE       ,1030
DUTCH TRUFFLE CAKE SHAKE      ,658
SNICKER BAR SHAKE             ,586
BLUEBERRY BRAIN FREEZER SHAKE ,541
BLACK FOREST SHAKE            ,523
LINDT CHOCOLATE SHAKE         ,475
