Item,Total
CAPPUCCINO                    ,5495
MASALA CHAI CUTTING           ,2234
CAFFE LATTE                   ,2110
DOPPIO                        ,525
ESPRESSO                      ,518
MONSOON MALABAR (REG)         ,373
CHAI LATTE                    ,366
IRISH COFFEE                  ,354
GREAT LAKES FLOATS W CHOC           ,300
GREAT LAKES FLOAT W VANILLA         ,286
