Item,Total
CARLSBERG                     ,1716
TUBORG                        ,1473
KF DRAUGHT (1/2LTR)           ,1115
KF DRAUGHT (1LTR)             ,851
KF DRAUGHT PITCHER (2LTR)     ,469
1+1 KF 1/2 LITER              ,111
BUDWEISER                     ,100
HOEGAARDEN (GLS)              ,44
HOEGAARDEN MUG (1 LITRE)      ,42
1+1 KF 1 LITER                ,42
